,Address,AvgCost2,City,Cuisines,Lat,Locality,Long,PriceRange,RatingAvg,RatingColor,RatingTxt,RestID,RestName,Timings,URL,ZipCode,cityID
0,"9301 East Shea Boulevard, Central Scottsdale, Phoenix 85260",40,Scottsdale,"American, Deli, Bakery",33.5823630000,Central Scottsdale,-111.8803340000,3,3.8,9ACD32,Good,17025880,Chompie's Deli,6 AM to 9 PM (Mon-Sun),https://www.zomato.com/scottsdale-az/chompies-deli-1-central-scottsdale?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85260,11190
1,"9160 East Shea Boulevard, Scottsdale 85260",10,Scottsdale,Ice Cream,33.5827370000,Central Scottsdale,-111.8835330000,1,4.1,5BA829,Very Good,17030263,Sweet Republic,"12 Noon to 10 PM (Mon, Tue, Wed, Thu, Sun), 12 Noon to 11 PM (Fri-Sat)",https://www.zomato.com/scottsdale-az/sweet-republic-1-central-scottsdale?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85260,11190
2,"9393 North 90th Street, Central Scottsdale, Phoenix 85258",25,Scottsdale,"Japanese, Sushi",33.5713980000,Central Scottsdale,-111.8868150000,2,4.2,5BA829,Very Good,17026952,Hiro Sushi,"11:30 AM to 2 PM, 5 PM to 9:30 PM (Mon-Thu),11:30 AM to 2 PM, 5 PM to 10 PM (Fri),5 PM to 10 PM (Sat),5 PM to 9 PM (Sun)",https://www.zomato.com/scottsdale-az/hiro-sushi-1-central-scottsdale?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85258,11190
3,"9397 East Shea Boulevard, Central Scottsdale, Phoenix 85260",25,Scottsdale,"Asian, American",33.5822980000,Central Scottsdale,-111.8786670000,2,4.3,5BA829,Very Good,17030151,Ling & Louie's,"11 AM to 10 PM (Mon-Sat),11 AM to 9 PM (Sun)",https://www.zomato.com/scottsdale-az/ling-louies-1-central-scottsdale?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85260,11190
4,10574 North. 90th Street 85258,10,Scottsdale,"Burger, American",33.5817286350,Central Scottsdale,-111.8886065483,1,4.1,5BA829,Very Good,17033485,Portillo's Hot Dogs,10 AM to 12 Midnight,https://www.zomato.com/scottsdale-az/portillos-hot-dogs-central-scottsdale?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85258,11190
5,"9393 N 90th St, Scottsdale 85258",25,Scottsdale,Mexican,33.5713980000,Central Scottsdale,-111.8868150000,2,3.6,9ACD32,Good,17025020,Ajo Al's Mexican Cafe,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/scottsdale-az/ajo-als-mexican-cafe-1-central-scottsdale?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85258,11190
6,"9160 E Shea Blvd, Scottsdale 85260",25,Scottsdale,Chinese,33.5827370000,Central Scottsdale,-111.8835330000,2,3.6,9ACD32,Good,17027155,Jade Palace Chinese,"11 AM to 9:30 PM (Mon, Tue, Wed, Thu, Sun), 11 AM to 10:30 PM (Fri-Sat)",https://www.zomato.com/scottsdale-az/jade-palace-chinese-central-scottsdale?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85260,11190
7,"8658 East Shea Boulevard, Central Scottsdale, Phoenix 85260",10,Scottsdale,Pizza,33.5843880000,Central Scottsdale,-111.8943730000,1,3.5,9ACD32,Good,17028078,Nello's Pizza,"11 AM to 9 PM (Mon, Tue, Wed, Thu, Sun), 11 AM to 10 PM (Fri-Sat)",https://www.zomato.com/scottsdale-az/nellos-pizza-1-central-scottsdale?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85260,11190
8,8980 East Shea Boulevard 85260,25,Scottsdale,"Breakfast, French, International",33.5826300000,Central Scottsdale,-111.8869400000,2,3.3,CDD614,Average,17032252,Mimis Cafe,"Breakfast, Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/scottsdale-az/mimis-cafe-central-scottsdale?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85260,11190
9,"116 East Garfield Street, Downtown, Phoenix 85004",10,Phoenix,"American, Diner",33.4576585000,Downtown,-112.0723168000,1,4.7,3F7E00,Excellent,17027827,Matt's Big Breakfast,6:30 AM to 2:30 PM (Mon-Sun),https://www.zomato.com/phoenix/matts-big-breakfast-downtown?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85004,301
10,"623 East Adams Street, Downtown, Phoenix 85004",25,Phoenix,"Pizza, Italian, Healthy Food",33.4492410000,Downtown,-112.0656390000,2,4.5,3F7E00,Excellent,17028613,Pizzeria Bianco,"11 AM to 9 PM (Mon),11 AM to 10 PM (Tue-Sat),Closed (Sun)",https://www.zomato.com/phoenix/pizzeria-bianco-downtown?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85004,301
11,"603 North 5th Avenue, Downtown, Phoenix 85003",25,Phoenix,"Italian, Pizza, Sandwich",33.4548910000,Downtown,-112.0800350000,2,4.7,3F7E00,Excellent,17025909,Cibo,"11 AM to 9 PM (Mon),11 AM to 10 PM (Tue-Thu),11 AM to 11 PM (Fri-Sat),5 PM to 9 PM (Sun)",https://www.zomato.com/phoenix/cibo-downtown?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85003,301
